,userid,product_category,productName,content,star_rating,review_ranking_score,time
25520,zzog********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,항상 맛있게 먹고 있어요 슬라이스라서 샐러드와 함께 먹으니 좋아요^^,4,-67.91053,2023-06-28T08:52:59.238+00:00
25521,zzog********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,항상 맛있게 먹고 있어요 슬라이스라서 샐러드와 함께 먹으니 좋아요^^,4,-67.91054,2023-06-28T08:51:25.171+00:00
25522,zzog********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,항상 맛있게 먹고 있어요 슬라이스라서 샐러드와 함께 먹으니 좋아요^^,4,-67.910545,2023-06-28T08:49:44.651+00:00
25523,zzog********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,항상 맛있게 먹고 있어요 슬라이스라서 샐러드와 함께 먹으니 좋아요^^,4,-68.01055,2023-06-28T08:47:55.716+00:00
25524,skit*******,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,어떤 것은 포장 뜯기가 불편한 점 빼고는 다 맛있어요,5,-68.017746,2023-07-05T03:53:48.237+00:00
25525,hell*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,잘라져있어서 먹기편해요 소스량이 적당하고 소스맛이 진하지는않아요 다이어트식품이라 그런거겠죠 그래도 맛있어요 먹을만 합니당,5,-68.033844,2023-07-04T04:51:13.782+00:00
25526,long********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있어요~^^  친구꺼 한번 먹어봣는데 너무맛있어서 사게됫어요~^^  스파잇도 너무맛잇구.. 근데.. 껍질은 좀못먹겟더라구요~  안씹혀요ㅜㅜ,5,-68.057915,2023-06-30T03:33:57.572+00:00
25527,long********,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,맛있어요~^^  친구꺼 한번 먹어봣는데 너무맛있어서 사게됫어요~^^  스파잇도 너무맛잇구.. 근데.. 껍질은 좀못먹겟더라구요~  안씹혀요ㅜㅜ,5,-68.05792,2023-06-30T03:33:22.391+00:00
25528,jkba*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,잘 먹고 있습니다. 다양하게 먹을수 있어서 그날 기분에 따라 골라먹기 좋아요 재 문의 하겠습니다.,5,-68.06238,2023-07-06T06:11:19.139+00:00
25529,jkba*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,잘 먹고 있습니다. 다양하게 먹을수 있어서 그날 기분에 따라 골라먹기 좋아요 재 문의 하겠습니다.,5,-68.06238,2023-07-06T06:10:59.606+00:00
25530,jkba*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,잘 먹고 있습니다. 다양하게 먹을수 있어서 그날 기분에 따라 골라먹기 좋아요 재 문의 하겠습니다.,5,-68.062386,2023-07-06T06:10:41.517+00:00
25531,jkba*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,잘 먹고 있습니다. 다양하게 먹을수 있어서 그날 기분에 따라 골라먹기 좋아요 재 문의 하겠습니다.,5,-68.062386,2023-07-06T06:10:22.051+00:00
25532,jkba*****,닭가슴살,아임닭 닭가슴살 75종 / 훈제 스팀 저염 소세지 스테이크 헬스,잘 먹고 있습니다. 다양하게 먹을수 있어서 그날 기분에 따라 골라먹기 좋아요 재 문의 하겠습니다.,5,-68.06239,2023-07-06T06:09:28.723+00:00
